latitude,longitude,offense,time,day,month,year,magnitude
40.729028172,-73.977173481,FELONY ASSAULT,09:00,01,10,2004,3
40.688872153,-73.9445290319999,RAPE,20:00,01,10,2004,3
40.8107727670001,-73.9525915899999,GRAND LARCENY,10:45,02,11,2004,3
40.772129009,-73.966237373,GRAND LARCENY,13:00,03,23,2004,3
40.6434474760001,-73.984939246,GRAND LARCENY OF MOTOR VEHICLE,16:00,03,23,2004,3
40.602603179,-74.0030876609999,RAPE,17:30,04,20,2004,3
40.671941046,-73.947524395,GRAND LARCENY,08:00,05,06,2004,3
40.8284414080001,-73.8549625479999,GRAND LARCENY,12:01,06,27,2004,3
40.589862313,-74.191001157,GRAND LARCENY,12:01,07,21,2004,3
40.5992926980001,-73.991744317,GRAND LARCENY,00:00,07,21,2004,3
40.6929761100001,-73.849862531,GRAND LARCENY,12:01,07,25,2004,3
40.658510198,-73.926327784,GRAND LARCENY,00:00,07,30,2004,3
40.6626928050001,-73.88830716,GRAND LARCENY,15:30,07,30,2004,3
40.885880892,-73.835286211,GRAND LARCENY,13:00,08,06,2004,3
40.6380582400001,-73.88540105,GRAND LARCENY,09:00,10,13,2004,3
40.7048845790001,-73.896138792,GRAND LARCENY,12:00,10,15,2004,3
40.5679445260001,-74.112383138,GRAND LARCENY,12:01,10,15,2004,3
40.662176092,-73.997824381,GRAND LARCENY,12:01,10,15,2004,3
40.7950567250001,-73.969642323,GRAND LARCENY,12:01,10,15,2004,3
40.7635022590001,-73.882546384,GRAND LARCENY,00:00,10,15,2004,3
40.8373235110001,-73.9198307569999,RAPE,16:30,10,15,2004,3
40.600466161,-73.759622086,GRAND LARCENY,08:00,11,17,2004,3
40.870792818,-73.884649242,GRAND LARCENY,16:19,11,17,2004,3
40.756860977,-73.875656664,GRAND LARCENY,12:00,11,19,2004,3
40.7555393910001,-73.9206943899999,GRAND LARCENY,09:00,11,19,2004,3
40.8494564280001,-73.921728235,GRAND LARCENY,09:00,11,19,2004,3
40.7453644230001,-73.78077086,GRAND LARCENY,11:00,11,19,2004,3
40.8225914020001,-73.8777775789999,GRAND LARCENY,11:00,11,21,2004,3
40.7114830990001,-73.995525067,GRAND LARCENY,10:00,11,25,2004,3
